State,n_obs,pval_lag1,pval_lag2,significant_any
Alabama,8,0.6707559847327715,0.7751257306363633,False
Alaska,8,0.6812319868065255,0.3221690413971253,False
Arizona,8,0.65997639592123,0.5528277432664762,False
Arkansas,8,0.7748114653042697,0.7552652032024,False
California,8,0.7288191988044486,0.6454126194964707,False
Colorado,8,0.7354859738605868,0.12016541667446896,False
Connecticut,8,0.7247679554045694,0.7414286405436772,False
Delaware,8,0.6003827583692272,0.24648084604338838,False
District of Columbia,8,0.7270978345334931,0.039764251334847844,True
Florida,8,0.839653968526965,0.46968311736654234,False
Georgia,8,0.9069548158849927,0.26420177526935573,False
Hawaii,8,0.6532008664760188,0.7698690066778338,False
Idaho,8,0.7129173501238775,0.2665694001806934,False
Illinois,8,0.7010548629596004,0.8017618353836411,False
Indiana,8,0.7356838759479598,0.6480196298159469,False
Iowa,8,0.6301875186286223,0.9330551368974433,False
Kansas,8,0.9124504061624366,0.4544839638987766,False
Kentucky,8,0.6826548110601702,0.15557806753679457,False
Louisiana,8,0.6718458062098553,0.6345345487851004,False
Maine,8,0.747407471728073,0.9506214665014278,False
Maryland,8,0.6817276621161477,0.8516632813580984,False
Massachusetts,8,0.6562634669396085,0.3028193494303907,False
Michigan,8,0.47013016377402267,0.12018771338650405,False
Minnesota,8,0.7962218912457601,0.8009574968964576,False
Mississippi,8,0.8729497694494199,0.5794647016401685,False
Missouri,8,0.6253997880035416,0.8556208589171916,False
Montana,8,0.8174438921076068,0.15198271757898613,False
Nebraska,8,0.5861152614909465,0.2757710657350709,False
Nevada,8,0.7189263838085975,0.9369982315783265,False
New Hampshire,8,0.5643266149993564,0.7923294971142782,False
New Jersey,8,0.8068443467816944,0.9786807047977645,False
New Mexico,8,0.6592336109964627,0.8495478405052799,False
New York,8,0.7604900883581001,0.763961355774944,False
North Carolina,8,0.6945845375886792,0.3310317978251645,False
North Dakota,8,0.7154762481636543,0.9815426122340931,False
Ohio,8,0.6732154123521805,0.8898345535612576,False
Oklahoma,8,0.6754622338174245,0.607689019524478,False
Oregon,8,0.816629281787499,0.10931875347561375,False
Pennsylvania,8,0.6955914749863685,0.2510820663068031,False
Rhode Island,8,0.829676900804668,0.8825570935614298,False
South Carolina,8,0.6309276808472698,0.4596632585218244,False
South Dakota,8,0.9263323989227347,0.39046362105314114,False
Tennessee,8,0.6473452661636707,0.4446187646633722,False
Texas,8,0.821498368575715,0.2602548261360799,False
Utah,8,0.9194548642931358,0.7010231503855078,False
Vermont,8,0.8781816461131337,0.6760274047140755,False
Virginia,8,0.775671138006052,0.15428726520726688,False
Washington,8,0.8100945194409982,0.3629036090853085,False
West Virginia,8,0.3512078169334544,0.8550509317262593,False
Wisconsin,8,0.7712594639484026,0.595478587036278,False
Wyoming,8,0.6904024445113779,0.7892046102321376,False
