State,Year,EVs_per_1000_forecast_panel_baseline,Outlets_per_100k_proj
Alabama,2024,7.097836918110326,112.88512904448443
Alabama,2025,25.53578563205732,595.0253193178468
Alabama,2026,120.92254466984153,3136.4195942034457
Alabama,2027,621.9118026517219,16532.284512163045
Alabama,2028,3260.8598732175133,87142.8145954177
Alaska,2024,7.116342698498174,88.74456185691449
Alaska,2025,21.701495144677157,467.7787207544767
Alaska,2026,96.77989869843776,2465.693976195406
Alaska,2027,490.72241093988004,12996.843410150204
Alaska,2028,2565.4196842103047,68507.26012990755
Arizona,2024,17.31900537192302,247.29428090436676
Arizona,2025,57.20844172557474,1303.5052509229308
Arizona,2026,265.6674751249198,6870.86629326756
Arizona,2027,1362.6685083289353,36216.81123764917
Arizona,2028,7143.235850366652,190901.3158222483
Arkansas,2024,8.065612824737986,143.0478421815195
Arkansas,2025,31.317482756740002,754.0150655118237
Arkansas,2026,152.0787533372747,3974.465537881771
Arkansas,2027,786.8188158853586,20949.6826181945
Arkansas,2028,4130.776623957515,110427.22540173058
California,2024,42.84245499718975,664.7281848598344
California,2025,149.35368091788894,3503.8282172661543
California,2026,708.9807729110041,18468.920764506507
California,2027,3657.012920378478,97350.95816762447
California,2028,19194.493233635403,513143.63069702644
Colorado,2024,26.862152789883893,485.18560842249644
Colorado,2025,104.7186680309016,2557.446884489569
Colorado,2026,513.3047990359755,13480.479332952411
Colorado,2027,2665.1895991715655,71056.53851435766
Colorado,2028,14006.12220432843,374543.9268839846
Connecticut,2024,19.34720088555555,368.5239726068165
Connecticut,2025,78.58470392317328,1942.5153368982792
Connecticut,2026,389.02873440989487,10239.132633335887
Connecticut,2027,2023.5997378234704,53971.17597560254
Connecticut,2028,10637.735556835503,284485.79977427685
Delaware,2024,15.499789370630216,265.9888054133526
Delaware,2025,58.37284221084921,1402.0453820244434
Delaware,2026,282.55872437822006,7390.278136710589
Delaware,2027,1462.457064687854,38954.66697310541
Delaware,2028,7679.9818434458,205332.74268090987
District of Columbia,2024,38.46497534950253,888.0670624612146
District of Columbia,2025,180.62073221200814,4681.062881262349
District of Columbia,2026,928.1326110243444,24674.206064577655
District of Columbia,2027,4866.518458916055,130059.4459763079
District of Columbia,2028,25624.221593553855,685552.3311831309
Florida,2024,15.759149066938765,224.674719577763
Florida,2025,52.03853927790657,1184.2759794049068
Florida,2026,241.46876988466977,6242.400560380019
Florida,2027,1238.1676680445685,32904.124911672865
Florida,2028,6490.035522044598,173439.91718100518
Georgia,2024,14.668077902517869,237.9129742207056
Georgia,2025,53.06027257594066,1254.0557348324246
Georgia,2026,253.6272415695026,6610.214475345009
Georgia,2027,1309.0286576859778,34842.89748565244
Georgia,2028,6870.321542135401,183659.3214522469
Hawaii,2024,23.20597640273116,314.497040327124
Hawaii,2025,73.8208666645673,1657.7356417905255
Hawaii,2026,338.81450910024853,8738.03917265556
Hawaii,2027,1733.8133749603194,46058.80856877374
Hawaii,2028,9085.147894509268,242779.16416461088
Idaho,2024,9.093118405235545,138.25337761585934
Idaho,2025,31.57979939030872,728.7431113289495
Idaho,2026,148.30770613152495,3841.255320249607
Idaho,2027,761.7876290427064,20247.52235179003
Idaho,2028,3993.6817713045953,106726.09009483836
Illinois,2024,11.079312510752798,146.3460973072334
Illinois,2025,34.85757873409963,771.4003962988068
Illinois,2026,158.393520557839,4066.1048183656912
Illinois,2027,807.759067051105,21432.71960095345
Illinois,2028,4228.808812106658,112973.34673180596
Indiana,2024,8.00409005072906,117.4476035614435
Indiana,2025,27.17020246746501,619.0744379157738
