State,Year,EVs_per_1000_arima
Nebraska,2025,5.444046190402851
Nebraska,2026,6.296694553890887
Nebraska,2027,7.070961403120082
Nebraska,2028,7.774052125493486
Nevada,2024,18.463925001636756
Nevada,2025,21.613751409933847
Nevada,2026,24.282508664749518
Nevada,2027,26.54366987235455
Nevada,2028,28.459486680927867
New Hampshire,2024,8.842100067018752
New Hampshire,2025,10.39189575303704
New Hampshire,2026,11.73992520456094
New Hampshire,2027,12.912456150781669
New Hampshire,2028,13.9323365534621
New Jersey,2024,18.866654850359232
New Jersey,2025,22.898245325386448
New Jersey,2026,26.514117394672166
New Jersey,2027,29.75713795998698
New Jersey,2028,32.66575369238274
New Mexico,2024,6.249850252685354
New Mexico,2025,7.547939418726365
New Mexico,2026,8.75669428664917
New Mexico,2027,9.882262829204063
New Mexico,2028,10.930369916595794
New York,2024,8.837371229403626
New York,2025,10.865806013828681
New York,2026,12.748881428236567
New York,2027,14.497014049297148
New York,2028,16.119873992894817
North Carolina,2024,8.417958612832786
North Carolina,2025,10.180382051751588
North Carolina,2026,11.759941208762609
North Carolina,2027,13.175609586407418
North Carolina,2028,14.444392047999964
North Dakota,2024,1.715623408182797
North Dakota,2025,2.118193413319593
North Dakota,2026,2.4797209861358995
North Dakota,2027,2.8043904454564874
North Dakota,2028,3.0959595144333707
Ohio,2024,5.52285470138926
Ohio,2025,6.68466688033222
Ohio,2026,7.755645173972217
Ohio,2027,8.74289124199984
Ohio,2028,9.652951515512374
Oklahoma,2024,6.7989677075527
Oklahoma,2025,7.703413462443708
Oklahoma,2026,8.391654875414602
Oklahoma,2027,8.915374777870504
Oklahoma,2028,9.313901415557764
Oregon,2024,18.747300189777796
Oregon,2025,21.941285886476013
Oregon,2026,24.76925704931822
Oregon,2027,27.273157084354207
Oregon,2028,29.49012289639316
Pennsylvania,2024,6.948744102182278
Pennsylvania,2025,8.338550265280828
Pennsylvania,2026,9.579837610535591
Pennsylvania,2027,10.688477300299553
Pennsylvania,2028,11.678644457338986
Rhode Island,2024,7.531148068635884
Rhode Island,2025,9.117259752086792
Rhode Island,2026,10.570571325014795
Rhode Island,2027,11.902201720303943
Rhode Island,2028,13.122338917784154
South Carolina,2024,5.09477236451226
South Carolina,2025,6.209163026430547
South Carolina,2026,7.230720807533519
South Carolina,2027,8.1671790315603
South Carolina,2028,9.025626807662155
South Dakota,2024,2.354890226881142
South Dakota,2025,2.8315695521245394
South Dakota,2026,3.282719414942501
South Dakota,2027,3.7097070939586563
South Dakota,2028,4.113826640605108
Tennessee,2024,6.019614569756562
Tennessee,2025,7.256172474120661
Tennessee,2026,8.36810099364626
Tennessee,2027,9.36796119280952
Tennessee,2028,10.267048139781005
Texas,2024,9.746511262285262
Texas,2025,11.753889554619494
Texas,2026,13.53830516552158
Texas,2027,15.124522912615209
Texas,2028,16.534556946067102
Utah,2024,14.609961766490324
Utah,2025,17.276011123711342
Utah,2026,19.650876498724397
Utah,2027,21.76636079542729
Utah,2028,23.650793427559933
